theme,url,img,lines,author
LAUGHTER,/inspirational-quotes/8050-i-honestly-think-its-the-thing-i-like-most-to,https://assets.passiton.com/quotes/quote_artwork/8050/medium/20200327_monday_quote.jpg?1595634171,"I honestly think it's the thing I like most, to laugh. It cures a multitude of ills. It's probably the most important thing in a person.",<Author:0x000055f361f73a78>
CHARACTER,/inspirational-quotes/8103-good-character-is-the-single-most-important,https://assets.passiton.com/quotes/quote_artwork/8103/medium/20200724_friday_quote.jpg?1595011033,Good character is the single most important attribute of a successful and worthy life.,<Author:0x000055f361ffc760>
CHARACTER,/inspirational-quotes/8102-just-as-we-develop-our-physical-muscles-through,https://assets.passiton.com/quotes/quote_artwork/8102/medium/20200723_thursday_quote.jpg?1595011009,Just as we develop our physical muscles through overcoming opposition – such as lifting weights – we develop our character muscles by overcoming challenges and adversity.,<Author:0x000055f3620841d8>
CHARACTER,/inspirational-quotes/8101-our-ability-to-handle-life-s-challenges-is-a,https://assets.passiton.com/quotes/quote_artwork/8101/medium/20200722_wednesday_quote.jpg?1595010982,Our ability to handle life’s challenges is a measure of our strength of character.,<Author:0x000055f3620cd860>
CHARACTER,/inspirational-quotes/7364-good-character-is-more-to-be-praised-than,https://assets.passiton.com/quotes/quote_artwork/7364/medium/20200721_tuesday_quote.jpg?1595010959,"Good character is more to be praised than outstanding talent. Most talents are to some extent a gift. Good character, by contrast, is not given to us. We have to build it piece by piece by thought, choice, courage and determination.",<Author:0x000055f3620ef2a8>
CHARACTER,/inspirational-quotes/4393-people-grow-through-experience-if-they-meet,https://assets.passiton.com/quotes/quote_artwork/4393/medium/20200720_monday_quote.jpg?1595010931,People grow through experience if they meet life honestly and courageously. This is how character is built.,<Author:0x000055f3621122a8>
INTEGRITY,/inspirational-quotes/8100-a-life-lived-with-integrity-is-a-shining-star,https://assets.passiton.com/quotes/quote_artwork/8100/medium/20200717_friday_quote.jpg?1594411651,A life lived with integrity… is a shining star in whose light others may follow in the years to come.,<Author:0x000055f362133318>
INTEGRITY,/inspirational-quotes/8099-the-greatness-of-a-man-is-not-in-how-much,https://assets.passiton.com/quotes/quote_artwork/8099/medium/20200716_thursday_quote.jpg?1594411624,"The greatness of a man is not in how much wealth he acquires, but in his integrity and his ability to affect those around him positively.",<Author:0x000055f36214dd08>
INTEGRITY,/inspirational-quotes/7654-real-integrity-is-doing-the-right-thing,https://assets.passiton.com/quotes/quote_artwork/7654/medium/20200715_wednesday_quote.jpg?1594411583,"Real integrity is doing the right thing, knowing that nobody’s going to know whether you did it or not.",<Author:0x000055f3621681d0>
INTEGRITY,/inspirational-quotes/8098-the-time-is-always-right-to-do-what-is-right,https://assets.passiton.com/quotes/quote_artwork/8098/medium/20200714_tuesday_quote.jpg?1594411553,The time is always right to do what is right.,<Author:0x000055f3624488a0>
INTEGRITY,/inspirational-quotes/7655-integrity-is-choosing-courage-over-comfort,https://assets.passiton.com/quotes/quote_artwork/7655/medium/20200713_monday_quote.jpg?1594411527,"Integrity is choosing courage over comfort; choosing what is right over what is fun, fast, or easy; and choosing to practice our values rather than simply professing them.",<Author:0x000055f36246e320>
UNITY,/inspirational-quotes/8097-we-are-all-in-this-together,https://assets.passiton.com/quotes/quote_artwork/8097/medium/20200710_friday_quote_alternate.jpg?1593898946,We are all in this together.,<Author:0x000055f36248a4d0>
UNITY,/inspirational-quotes/7586-the-essence-of-the-beautiful-is-unity-in-variety,https://assets.passiton.com/quotes/quote_artwork/7586/medium/20200709_thursday_quote.jpg?1593731309,The essence of the beautiful is unity in variety.,<Author:0x000055f3624a48f8>
